Год,Месяц,"Доходы, всего",Нефтегазовые доходы,Ненефтегазовые доходы,"Ненефтегазовые доходы, связанные с внутренним производством",Ненефтегазовые доходы - НДС (внутренний),Ненефтегазовые доходы - Акцизы,Ненефтегазовые доходы - Налог на прибыль,Ненефтегазовые доходы - Налог на доходы физических лиц,"Доходы, связанные с импортом","Доходы, связанные с импортом - НДС на ввозимые товары","Доходы, связанные с импортом - Акцизы на ввозимые товары","Доходы, связанные с импортом - Ввозные пошлины",Прочие доходы,"Расходы, всего",Расходы на общегосударственные вопросы,Расходы на национальную оборону,Расходы на национальную безопасность и правоохранительную деятельность,Расходы на национальную экономику,Расходы на жилищно-коммунальное хозяйство,Расходы на охрану окружающей среды,Расходы на образование,"Расходы на культуру, кинематографию",Расходы на здравоохранение,Расходы на социальную политику,Расходы на физическую культуру и спорт,Расходы на средства массовой информации,Расходы на обслуживание государственного и муниципального долга,Расходы на межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,Дефицит (-)/Профицит (+),Ненефтегазовый дефицит,Источники финансирования дефицита федерального бюджета - всего,Источники внутреннего финансирования дефицита,Источники внутреннего финансирования дефицита (без учета изменения остатков на счетах),Сальдо внутреннего долга:,Привлечение,Погашение государственного внутреннего долга,Бюджетные кредиты:,Предоставление кредитов,Возврат кредитов,"Поступления от продажи акций и земельных участков, находящихся в государственной собственности",Курсовая разница,Изменение остатков на счетах ,Прочие источники внутреннего финансирования дефицита,Источники внешнего  финансирования дефицита,Привлечение кредитов и размещение ценных бумаг,Погашение внешнего долга,Другие источники внешнего финансирования,Код разреза,Код признака
2020,октябрь,15145.4,4328.5,10816.9,5122.4,3447.1,749.4,925.9,,2921.6,2295.4,77.1,549.1,2772.9,16842.1,1149.5,2322.0,1634.8,2043.8,290.7,195.8,741.3,101.1,1030.4,5468.1,46.8,77.1,643.6,1097.1,-1696.7,-6025.3,1696.7,2095.0,3918.7,3743.1,4270.8,-527.7,4.1,0.0,4.1,7.6,2840.0,-1823.7,-2676.1,-398.3,4.8,-389.7,-13.3,OKEI,386
2020,ноябрь,16528.6,4782.3,11746.3,5468.4,3677.9,825.2,965.3,,3299.9,2588.3,88.7,623.0,2978.0,18931.5,1254.6,2574.5,1845.4,2586.8,383.4,212.0,832.7,114.6,1152.8,5872.6,53.6,84.1,691.9,1272.3,-2402.9,-7185.2,2402.9,2726.7,4504.0,4497.8,5058.4,-560.6,6.7,0.0,6.7,7.6,2547.5,-1777.4,-2555.6,-231.7,185.5,-390.8,-26.4,OKEI,386
2020,декабрь,18719.1,5235.2,13483.8,6260.3,4268.6,900.3,1091.4,,3748.8,2933.5,102.1,713.2,3474.8,22821.6,1507.7,3168.8,2226.6,3483.9,371.5,260.6,956.9,144.5,1334.4,6990.3,75.3,121.1,784.2,1395.9,-4102.5,-9337.7,4102.5,4403.2,4529.8,4600.6,5176.4,-575.8,-217.2,-223.6,6.4,12.6,2440.2,-126.6,-2306.3,-300.8,188.2,-394.9,-94.0,OKEI,386
2021,январь,1504.0,490.8,1013.2,620.8,504.2,75.0,39.5,2.2,247.0,200.8,6.5,39.8,145.3,1560.0,138.8,122.8,119.0,56.0,40.2,6.7,121.7,18.2,122.7,659.8,5.6,0.1,77.1,71.2,-56.0,-546.8,56.0,61.5,483.5,32.1,61.7,-29.6,0.0,0.0,0.0,0.0,237.6,-422.0,213.7,-5.5,0.1,0.0,-5.6,OKEI,386
2021,февраль,2755.6,1035.7,1719.9,981.1,744.0,156.6,76.4,4.1,573.9,452.7,15.8,105.4,164.9,3291.9,215.2,518.1,284.2,211.6,108.6,62.9,186.7,23.8,183.0,1205.1,7.6,1.0,140.0,144.3,-536.3,-1572.0,536.3,549.7,343.4,108.4,206.7,-98.3,2.6,0.0,2.6,0.1,39.6,206.3,192.8,-13.4,0.2,-0.2,-13.4,OKEI,386
2021,март,5299.9,1618.0,3681.9,1911.8,1419.9,216.7,263.6,11.6,1002.8,785.0,27.7,190.1,767.4,5013.3,354.6,903.6,467.3,409.7,183.9,102.0,234.9,30.4,237.2,1614.3,9.4,5.4,238.5,222.1,286.6,-1331.4,-286.6,-238.9,538.7,624.4,739.4,-115.0,5.1,0.0,5.1,0.8,34.2,-777.6,-125.7,-47.8,3.0,-20.2,-30.6,OKEI,386
2021,апрель,7486.8,2511.4,4975.4,2613.1,1834.6,308.6,449.7,20.1,1429.6,1115.5,38.6,275.5,932.7,7156.9,528.0,1149.8,654.4,642.4,215.4,147.5,430.9,49.0,435.3,2158.1,17.5,16.4,351.9,360.4,329.9,-2181.5,-329.9,-269.0,1013.6,962.1,1223.8,-261.7,5.5,0.0,5.5,1.9,13.6,-1282.6,30.6,-60.9,3.2,-21.5,-42.7,OKEI,386
2021,май,9320.3,3129.0,6191.3,3058.1,2098.1,402.3,531.8,25.9,1807.6,1412.3,49.8,345.5,1325.6,8878.2,604.2,1339.8,808.7,1249.1,244.7,181.0,468.8,53.5,493.0,2604.0,20.1,25.6,410.6,374.9,442.1,-2686.9,-442.1,-504.7,1141.1,1086.7,1348.6,-261.9,5.5,0.0,5.5,2.1,-34.9,-1645.7,81.6,62.6,137.5,-22.5,-52.5,OKEI,386
2021,июнь,11265.8,3776.0,7489.8,3808.1,2651.0,487.4,636.7,33.0,2212.7,1730.4,61.2,421.2,1469.0,10491.1,719.1,1522.5,994.1,1507.5,255.2,215.9,535.5,60.0,573.0,3046.5,22.8,42.0,506.1,490.9,774.7,-3001.3,-774.7,-795.2,749.4,1274.0,1536.0,-262.0,10.6,0.0,10.6,2.2,-354.7,-1544.7,-182.6,20.6,138.2,-25.9,-91.7,OKEI,386
2021,июль,13651.1,4770.0,8881.1,4561.8,3121.6,571.1,827.6,41.6,2623.5,2051.2,73.1,499.2,1695.8,12615.9,914.2,1686.3,1176.4,1818.3,290.8,245.9,632.2,77.8,746.0,3733.4,36.2,52.0,587.2,619.1,1035.3,-3734.7,-1035.3,-1043.6,1438.1,1429.4,1691.6,-262.2,12.2,0.0,12.2,2.4,-194.9,-2481.7,189.0,8.4,138.2,-25.9,-103.9,OKEI,386
2021,август,15697.8,5465.9,10231.9,5006.6,3351.5,664.0,942.6,48.5,3008.8,2365.0,83.9,559.9,2216.5,14620.7,1041.0,1824.1,1346.4,2102.4,316.7,277.3,676.1,88.0,899.5,4571.8,40.7,61.2,675.3,700.3,1077.0,-4388.8,-1077.0,-1081.0,493.2,1568.5,2106.7,-538.3,-228.3,-240.7,12.4,3.6,-207.9,-1574.2,-642.6,4.0,138.2,-26.0,-108.2,OKEI,386
2021,сентябрь,17923.9,6184.8,11739.1,5928.5,4030.4,765.5,1076.8,55.9,3413.4,2686.6,95.2,631.6,2397.1,16298.9,1192.8,2060.1,1528.8,2379.7,358.7,296.2,733.2,93.6,970.7,5010.6,45.7,68.8,780.5,779.5,1625.0,-4559.8,-1625.0,-1609.1,1009.8,1748.9,2287.9,-539.0,-251.2,-263.6,12.4,3.9,-447.1,-2618.9,-44.8,-15.9,140.3,-45.2,-110.9,OKEI,386
2021,октябрь,20431.7,7292.7,13139.1,6677.0,4516.8,850.4,1243.6,66.2,3791.7,2985.1,105.5,701.2,2670.3,18134.7,1318.9,2300.8,1708.6,2638.5,384.8,338.3,852.9,108.5,1072.8,5513.7,53.8,81.9,901.8,859.5,2297.1,-4995.6,-2297.1,-2279.1,551.1,1804.0,2343.6,-539.6,-277.7,-296.2,18.4,4.8,-671.9,-2830.2,-307.9,-18.0,140.5,-46.2,-112.2,OKEI,386
2021,ноябрь,22440.0,8177.4,14262.7,7146.6,4763.7,934.6,1374.1,74.2,4242.4,3340.3,119.3,782.8,2873.7,19940.9,1431.6,2652.5,1906.5,2944.2,412.8,346.0,948.5,122.2,1199.7,5899.6,60.7,91.8,975.9,948.8,2499.1,-5678.3,-2499.1,-2464.2,1099.1,1817.8,2402.1,-584.3,-242.4,-304.9,62.5,4.8,-167.8,-3563.4,-313.2,-34.9,141.2,-47.1,-128.9,OKEI,386
2021,декабрь,25286.4,9056.5,16229.9,8135.1,5479.3,1012.8,1552.4,90.7,4724.5,3733.0,132.6,858.9,3370.2,24762.1,1759.5,3573.6,2335.9,4356.6,593.7,405.1,1064.4,146.7,1473.9,6675.8,70.9,114.0,1084.2,1107.7,524.3,-8532.2,-524.3,-484.8,1302.9,1538.1,2519.4,-981.3,-265.9,-338.8,69.7,5.3,-215.3,-1787.8,240.8,-39.4,215.9,-50.6,-204.7,OKEI,386
2022,январь,2088.8,794.5,1294.3,838.1,682.9,81.7,65.3,8.2,360.5,289.1,8.8,62.6,95.6,1832.7,,,,,,,,,,,,,,,256.1,-538.4,-256.1,-260.8,1237.1,-2.6,27.3,-30.0,-4.3,-4.3,0.0,1.6,440.8,-1498.0,801.7,4.7,,,4.7,OKEI,386
2022,февраль,4205.5,1766.2,2439.3,1255.2,906.4,184.1,149.4,15.4,792.3,632.3,19.0,141.0,391.8,3668.2,,,,,,,,,,,,,,,537.3,-1228.9,-537.3,-540.1,2841.4,83.8,116.4,-32.6,-11.8,-11.9,0.1,2.8,1682.3,-3381.5,1084.4,2.8,2.7,-0.2,0.2,OKEI,386
2022,март,7163.1,2974.3,4188.8,2453.9,1718.4,274.3,435.0,26.2,1221.3,974.9,26.4,220.0,513.6,5859.6,,,,,,,,,,,,,,,1303.5,-1670.8,-1303.5,-1033.2,2707.4,76.3,116.4,-40.2,-26.5,-26.5,0.0,3.1,1623.1,-3740.6,1031.4,-270.2,2.7,-192.5,-80.4,OKEI,386
2022,апрель,10033.8,4786.7,5247.1,3033.2,1910.3,390.8,695.3,36.8,1485.5,1187.4,30.9,267.1,728.5,8869.4,,,,,,,,,,,,,,,1164.4,-3622.3,-1164.4,-884.5,222.0,72.7,116.4,-43.8,-39.0,-41.8,2.8,3.2,-1146.0,-1106.5,1331.2,-279.9,2.7,-187.7,-95.0,OKEI,386
2022,май,12042.7,5658.1,6384.7,3738.7,2385.6,497.7,810.1,45.2,1705.2,1371.8,36.1,297.3,940.8,10453.7,,,,,,,,,,,,,,,1589.1,-4069.0,-1589.1,-1292.8,-1621.9,71.9,116.4,-44.6,-49.9,-52.7,2.8,4.3,-2614.7,329.1,966.5,-296.3,2.8,-190.6,-108.5,OKEI,386
2022,июнь,14017.1,6375.9,7641.2,4712.1,3171.5,580.5,905.9,54.2,1926.9,1558.3,42.5,326.2,1002.2,12534.8,,,,,,,,,,,,,,,1482.3,-4893.6,-1482.3,-1151.6,-3994.0,71.3,116.4,-45.1,-283.4,-287.8,4.5,5.8,-4429.3,2842.4,641.5,-330.7,2.8,-189.2,-144.3,OKEI,386
2022,июль,15774.4,7150.3,8624.1,5215.4,3459.4,642.4,1036.1,77.4,2158.0,1751.1,49.1,357.8,1250.7,15216.9,,,,,,,,,,,,,,,557.5,-6592.9,-557.5,-203.3,-3128.8,-386.2,116.4,-502.6,-427.8,-433.2,5.4,7.1,-3081.8,2925.5,759.9,-354.2,2.8,-189.2,-167.8,OKEI,386
2022,август,17606.6,7818.4,9788.2,5856.5,3877.2,729.9,1162.6,86.8,2439.7,1983.7,58.3,397.7,1491.9,17314.7,,,,,,,,,,,,,,,291.9,-7526.5,-291.9,70.0,-3630.2,-391.1,116.4,-507.6,-432.9,-455.0,22.1,7.2,-3400.4,3700.1,587.0,-361.8,2.8,-189.3,-175.3,OKEI,386
2022,сентябрь,19739.2,8506.6,11232.6,6887.5,4681.6,856.6,1252.7,96.5,2729.1,2221.0,67.5,440.6,1616.1,19536.6,,,,,,,,,,,,,,,202.7,-8303.9,-202.7,196.2,-4652.5,-382.5,125.3,-507.8,-472.9,-495.1,22.1,7.5,-4171.0,4848.7,366.3,-398.9,2.8,-204.5,-197.1,OKEI,386
2022,октябрь,22139.5,9788.3,12351.2,7622.6,5171.0,964.9,1375.7,111.1,3028.2,2462.5,77.6,488.1,1700.5,21784.8,,,,,,,,,,,,,,,354.7,-9433.6,-354.7,51.2,-3724.8,-167.8,340.2,-508.0,-540.4,-562.5,22.1,7.7,-3544.4,3776.0,520.1,-405.9,2.8,-205.1,-203.6,OKEI,386
2022,ноябрь,24779.8,10654.7,14125.1,8336.3,5600.3,1060.0,1551.1,125.0,3365.6,2732.3,90.1,543.2,2423.2,24037.1,,,,,,,,,,,,,,,742.8,-9911.9,-742.8,-319.8,-2768.8,748.4,1469.0,-720.6,-580.2,-604.6,24.5,7.8,-3322.7,2449.0,377.9,-423.0,2.8,-209.4,-216.4,OKEI,386
2022,декабрь,27824.4,11586.2,16238.2,9455.1,6489.4,1147.2,1669.5,149.0,3777.6,3063.4,103.8,610.4,3005.4,31119.0,,,,,,,,,,,,,,,-3294.6,-14880.9,3294.6,3821.7,-692.1,2056.7,3121.4,-1064.7,-610.8,-636.4,25.5,7.8,-1938.6,4513.8,-207.2,-526.7,2.8,-217.8,-311.7,OKEI,386
2023,январь,1357.0,425.5,931.5,443.0,379.5,133.7,-71.9,1.8,352.2,282.3,10.7,59.3,136.2,3006.3,,,,,,,,,,,,,,,-1649.3,-2074.8,1649.3,1655.8,3094.1,-8.1,173.3,-181.4,0.0,0.0,0.0,0.2,239.5,-1438.2,2862.5,-5.7,0.0,0.0,-5.7,OKEI,386
2023,февраль,3164.2,946.8,2217.5,1290.1,1059.7,197.5,22.5,10.4,703.1,561.9,20.6,120.6,224.3,5543.1,,,,,,,,,,,,,,,-2378.9,-3325.7,2378.9,4065.9,4203.2,267.6,449.2,-181.6,0.0,0.0,0.0,0.2,486.4,-137.4,3449.1,-24.5,0.0,0.0,-24.5,OKEI,386
2023,март,5678.9,1634.9,4044.1,2420.4,1769.7,294.3,339.9,16.6,1158.7,923.4,33.9,201.4,465.0,7764.7,,,,,,,,,,,,,,,-2085.8,-3720.6,2085.8,2138.0,3580.3,443.7,625.6,-181.8,-29.1,-29.1,0.0,0.2,909.0,-1442.3,2256.4,-52.2,0.0,-13.7,-38.5,OKEI,386
2023,апрель,7785.1,2282.3,5502.8,3166.5,2186.7,391.4,560.7,27.7,1580.9,1252.1,44.8,284.0,755.3,10834.5,,,,,,,,,,,,,,,-3049.4,-5331.7,3049.4,3104.2,5291.6,655.6,837.6,-182.0,-62.7,-62.7,0.0,11.2,1222.4,-2187.4,3465.1,-54.8,0.0,-13.7,-41.1,OKEI,386
2023,май,9818.7,2853.0,6965.7,3941.3,2741.4,475.0,688.3,36.5,2063.1,1626.5,57.2,379.4,961.3,12848.3,,,,,,,,,,,,,,,-3029.5,-5882.6,3029.5,3089.6,4993.2,846.3,1067.3,-221.0,-87.2,-87.3,0.0,11.3,1098.4,-1903.6,3124.4,-60.1,0.0,-16.6,-43.5,OKEI,386
2023,июнь,12381.6,3381.6,9000.0,5016.8,3537.4,564.5,867.1,47.9,2541.2,1996.8,70.9,473.5,1441.9,14731.7,,,,,,,,,,,,,,,-2350.2,-5731.8,2350.2,2421.6,5362.4,1185.8,1406.8,-221.0,-89.3,-93.7,4.3,11.3,1513.0,-2940.8,2741.7,-71.5,0.0,-13.7,-57.7,OKEI,386
2023,июль,14525.5,4192.9,10332.5,5663.2,3906.6,656.8,1026.1,73.8,3028.4,2372.1,84.1,572.3,1640.9,17113.4,,,,,,,,,,,,,,,-2587.9,-6780.8,2587.9,2703.9,6707.5,1512.3,1746.7,-234.4,-130.3,-134.7,4.3,12.3,1934.7,-4003.5,3378.5,-116.0,0.0,-13.9,-102.2,OKEI,386
2023,август,16991.5,4835.6,12155.9,6458.8,4456.2,746.9,1170.4,85.3,3611.6,2823.7,99.8,688.1,2085.5,19119.7,,,,,,,,,,,,,,,-2128.2,-6963.8,2128.2,2275.3,5759.3,1372.7,1976.9,-604.2,-143.6,-148.0,4.3,12.4,2238.7,-3483.9,2279.1,-147.1,0.0,-13.9,-133.3,OKEI,386
2023,сентябрь,19734.5,5575.5,14159.0,7629.1,5309.0,837.4,1387.1,95.7,4124.1,3216.2,114.8,793.2,2405.8,21184.6,,,,,,,,,,,,,,,-1450.1,-7025.6,1450.1,1940.0,5587.6,1455.8,2060.1,-604.3,-168.8,-173.3,4.5,16.8,2250.8,-3647.6,2033.0,-489.9,0.0,-315.9,-174.0,OKEI,386
2023,октябрь,23107.4,7210.1,15897.2,8283.7,5712.2,892.6,1566.7,112.3,4657.8,3623.3,130.3,904.2,2955.7,24157.2,,,,,,,,,,,,,,,-1049.9,-8260.0,1049.9,1535.1,6287.6,1445.9,2200.7,-754.8,-205.1,-209.6,4.5,18.9,2065.8,-4752.5,2962.1,-485.3,0.0,-315.9,-169.4,OKEI,386
2023,ноябрь,25964.0,8226.2,17737.8,9044.6,6209.5,967.8,1739.9,127.5,5179.4,4024.6,147.2,1007.7,3513.8,26711.7,,,, ,,,,,,,,,,,-747.7,-8973.9,747.7,1265.7,6315.7,1741.6,2496.6,-755.0,-167.4,-218.7,51.3,27.3,1895.0,-5050.0,2819.2,-518.0,0.0,-315.9,-202.0,OKEI,386
2023,декабрь,29124.0,8822.3,20301.8,10306.4,7182.4,1045.8,1918.6,159.5,5706.6,4432.0,164.2,1110.4,4288.8,32353.8,,,,,,,,,,,,,,,-3229.8,-12052.0,3229.8,3825.1,6592.5,1823.4,2578.5,-755.1,-198.1,-250.0,51.9,27.3,2066.7,-2767.4,2873.2,-595.3,0.0,-315.5,-279.8,OKEI,386
2024,январь,2397.3,675.2,1722.1,764.5,566.8,84.2,105.8,7.7,447.3,348.2,12.8,86.4,510.2,2521.3,,,,,,,,,,,,,,,-124.0,-799.2,124.0,133.2,673.7,114.3,143.8,-29.6,0.0,0.0,0.0,1.2,-114.0,-540.5,672.1,-9.2,0.0,0.0,-9.2,OKEI,386
2024,февраль,5027.8,1620.8,3407.0,1641.2,1151.0,205.5,266.7,18.0,923.2,717.0,26.9,179.3,842.5,6158.1,,,,,,,,,,,,,,,-1130.2,-2751.1,1130.2,1181.4,371.6,97.5,488.8,-391.3,0.0,0.0,0.0,1.6,38.0,809.7,234.5,-51.1,0.0,0.0,-51.1,OKEI,386
2024,март,8721.6,2928.4,5793.3,3185.1,2287.6,305.0,565.4,27.1,1384.3,1068.7,42.8,272.8,1223.9,9017.0,,,,,,,,,,,,,,,-295.3,-3223.7,295.3,384.6,782.4,342.7,734.1,-391.4,-1.5,-1.5,0.0,2.2,239.7,-397.9,199.2,-89.2,0.0,-16.6,-72.6,OKEI,386
2024,апрель,11689.3,4157.4,7531.9,4146.5,2952.0,409.8,742.4,42.2,1830.1,1410.0,59.8,360.3,1555.4,12829.5,,,,,,,,,,,,,,,-1140.2,-5297.6,1140.2,4055.8,2221.7,309.4,1006.5,-697.1,-24.0,-24.1,0.1,1.8,327.2,1834.1,1607.4,-93.1,0.0,-16.6,-76.5,OKEI,386
2024,май,14292.1,4951.0,9341.1,4866.4,3383.9,509.7,915.2,57.6,2374.4,1819.4,83.8,471.2,2100.3,15022.5,,,,,,,,,,,,,,,-730.4,-5681.4,730.4,850.9,877.2,397.7,1094.9,-697.1,-39.2,-39.3,0.1,4.2,217.3,-26.3,297.1,-120.5,0.0,-16.6,-103.9,OKEI,386
2024,июнь,17097.5,5697.6,11399.8,6131.2,4342.5,610.9,1105.4,72.5,2843.8,2178.9,104.1,560.8,2424.8,17699.9,,,,,,,,,,,,,,,-602.4,-6300.1,602.4,1217.5,806.9,474.8,1171.9,-697.2,-50.5,-52.9,2.4,11.2,-130.2,410.6,501.6,-152.3,0.0,-16.5,-135.8,OKEI,386
2024,июль,19753.1,6776.9,12976.2,6835.4,4758.2,702.7,1271.7,102.9,3363.8,2576.3,125.9,661.6,2777.0,20851.4,,,,,,,,,,,,,,,-1098.3,-7875.2,1098.3,1252.3,850.6,229.8,1321.4,-1091.7,-77.3,-79.9,2.6,11.9,18.5,401.7,667.7,-153.9,0.0,-16.5,-137.5,OKEI,386
2024,август,23036.2,7555.4,15480.8,7883.0,5503.1,809.2,1453.1,117.6,3864.7,2959.3,147.1,758.3,3733.1,23063.9,,,,,,,,,,,,,,,-27.6,-7583.1,27.6,192.7,590.9,470.7,1568.5,-1097.7,-89.9,-92.6,2.6,46.7,339.3,-398.2,-175.9,-165.0,0.0,-16.5,-148.5,OKEI,386
2024,сентябрь,26284.7,8327.3,17957.4,9285.4,6530.9,928.8,1680.1,145.6,4409.0,3371.8,169.1,868.0,4263.0,25706.3,,,,,,,,,,,,,,,578.5,-7748.9,-578.5,915.3,450.8,693.4,1791.2,-1097.8,-99.1,-101.8,2.6,49.7,859.5,464.6,-1052.7,-181.4,0.0,-33.2,-148.2,OKEI,386
2024,октябрь,29678.8,9539.2,20139.6,10079.7,6977.4,1040.1,1875.6,186.6,5043.0,3852.6,192.7,997.7,5017.0,29554.6,,,,,,,,,,,,,,,124.2,-9415.0,-124.2,70.2,2198.2,438.8,1878.9,-1440.1,-121.8,-124.4,2.6,89.1,1209.6,-2128.0,582.5,-194.4,0.0,-33.2,-161.2,OKEI,386
2024,ноябрь,32677.4,10340.8,22336.6,11179.3,7679.9,1148.2,2073.3,277.9,5603.8,4286.8,212.0,1105.1,5553.4,32639.6,,,,,,,,,,,,,,,37.8,-10303.0,-37.8,174.7,2343.5,549.8,1986.1,-1436.4,-111.1,-146.0,35.0,89.1,1714.3,-2168.8,101.4,-212.6,0.0,-33.2,-179.4,OKEI,386
2024,декабрь,36708.6,11131.1,25577.5,12618.9,8733.6,1260.8,2285.7,338.7,6256.2,4789.0,236.4,1230.8,6702.5,40180.5,,,,,,,,,,,,,,,-3471.9,-14603.0,3471.9,3869.7,3448.9,2513.2,3949.6,-1436.4,-139.7,-175.0,35.3,16.4,1195.7,420.8,-136.7,-397.7,0.0,-33.3,-364.4,OKEI,386
2025,январь,2672.4,789.1,1883.3,750.1,483.0,117.4,139.8,10.0,538.8,421.6,13.0,104.3,594.3,4138.6,,,,,,,,,,,,,,,-1466.3,-2255.3,1466.3,1467.9,1094.1,-342.0,76.7,-418.7,0.0,0.0,0.0,0.1,20.2,373.8,1415.9,-1.6,0.0,0.0,-1.6,OKEI,386
2025,февраль,5347.2,1560.3,3786.9,1922.9,1266.5,234.5,398.4,23.6,968.6,752.9,26.3,189.4,895.4,7763.6,,,,,,,,,,,,,,,-2416.3,-3976.7,2416.3,2434.9,-2013.8,158.7,579.0,-420.3,0.1,0.0,0.1,0.1,-441.2,4448.8,-1731.5,-18.6,0.0,0.0,-18.6,OKEI,386
2025,март,9055.1,2641.6,6413.4,3767.4,2587.1,369.6,772.8,37.9,1391.6,1082.9,38.6,270.1,1254.5,11015.0,,,,,,,,,,,,,,,-1960.0,-4601.6,1960.0,1989.4,684.5,602.8,1053.4,-450.6,0.0,0.0,0.0,0.2,-551.5,1304.9,633.1,-29.4,0.0,-4.0,-25.4,OKEI,386
2025,апрель,12279.5,3727.2,8552.2,4885.9,3000.9,505.7,1314.2,65.2,1822.6,1417.7,51.8,353.2,1843.7,15210.3,,,,,,,,,,,,,,,-2930.8,-6658.0,2930.8,2957.7,1337.9,804.2,1254.8,-450.6,0.0,0.0,0.0,0.2,-506.7,1619.8,1040.2,-26.9,0.0,-4.0,-22.9,OKEI,386
2025,май,14740.3,4239.9,10500.4,6086.2,3762.5,641.4,1594.6,87.7,2239.5,1738.5,65.9,435.0,2174.7,17769.5,,,,,,,,,,,,,,,-3029.2,-7269.1,3029.2,3077.2,1152.8,1200.2,1650.8,-450.6,0.0,0.0,0.0,0.2,-645.4,1924.4,597.8,-48.0,0.0,-4.0,-44.0,OKEI,386
2025,июнь,17594.3,4734.7,12859.6,7748.8,4958.0,775.5,1900.4,114.9,2633.1,2041.4,79.4,512.4,2477.6,20980.9,,,,,,,,,,,,,,,-3386.6,-8121.3,3386.6,3435.8,-169.4,1756.6,2207.2,-450.6,0.0,0.0,0.0,0.2,-630.7,3605.2,-1295.4,-49.3,0.0,-4.0,-45.3,OKEI,386
2025,июль,20327.6,5522.0,14805.5,8798.7,5460.6,908.7,2259.0,170.4,3068.3,2376.9,94.2,597.2,2938.5,24949.2,,,,,,,,,,,,,,,-4621.6,-10143.6,4621.6,4693.7,2621.5,1972.1,2899.3,-927.2,0.0,0.0,0.0,1.6,-461.8,2072.2,1109.6,-72.2,0.0,-4.0,-68.2,OKEI,386
2025,август,23739.5,6027.0,17712.5,10104.8,6280.3,1049.6,2567.6,207.2,3478.9,2691.6,110.0,677.3,4128.8,27659.8,,,,,,,,,,,,,,,-3920.3,-9947.4,3920.3,4029.6,2577.6,2255.3,3182.5,-927.2,0.0,0.0,0.0,2.9,-471.2,1452.1,790.6,-109.3,0.0,-4.0,-105.3,OKEI,386
2025,сентябрь,26953.5,6609.5,20344.0,11945.9,7536.2,1200.6,2939.9,269.3,3923.3,3032.6,128.0,762.8,4474.8,30424.1,,,,,,,,,,,,,,,-3470.6,-10080.1,3470.6,3600.7,2514.4,2588.6,3554.5,-965.9,0.0,0.0,0.0,4.2,-163.7,1086.3,85.3,-130.1,0.0,-7.9,-122.2,OKEI,386
2025,октябрь,29939.5,7498.1,22441.4,13133.9,8133.3,1331.8,3299.5,369.3,4369.7,3370.7,148.6,850.4,4937.8,33881.8,,,,,,,,,,,,,,,-3942.3,-11440.4,3942.3,4074.3,3306.9,3361.5,4327.4,-965.9,0.5,0.0,0.5,4.2,-169.6,767.4,110.4,-132.0,0.0,-7.9,-124.1,OKEI,386
2025,ноябрь,32945.7,8029.0,24916.7,14683.8,8988.4,1462.4,3622.7,610.3,4803.7,3701.8,166.5,935.4,5429.1,36955.8,,,,,,,,,,,,,,,-4010.1,-12039.1,4010.1,4179.4,4448.2,4908.4,6323.1,-1414.7,132.2,0.0,132.2,4.4,-216.2,-268.7,-380.7,-169.3,0.0,-7.9,-161.4,OKEI,386
2025,декабрь,37283.8,8476.8,28806.9,16719.8,10420.7,1599.4,3936.6,763.1,5393.0,4150.0,196.0,1047.0,6694.1,42910.3,,,,,,,,,,,,,,,-5626.5,-14103.4,5626.5,5815.6,4825.9,5391.6,6806.3,-1414.7,132.7,0.0,132.7,4.4,-101.4,989.7,-601.4,-189.1,214.7,-165.7,-238.0,OKEI,386
2026,январь,2364.3,393.3,1971.0,1201.0,854.2,134.7,197.0,15.1,349.1,275.7,12.9,60.5,420.9,3993.3,,,,,,,,,,,,,,,-1628.9,-2022.2,1628.9,1695.0,2339.2,141.1,141.1,0.0,0.0,0.0,0.0,0.0,301.5,-644.2,1896.6,-66.1,0.0,0.0,-66.1,OKEI,386
2026,февраль,4769.6,825.6,3944.0,2417.7,1636.5,263.6,480.1,37.5,762.0,600.0,27.6,134.4,764.3,8094.0,,,,,,,,,,,,,,,-3324.4,-4150.0,3324.4,3408.1,606.1,815.2,815.2,0.0,0.0,0.0,0.0,0.0,320.7,2802.0,-529.8,-83.7,0.0,0.0,-83.7,OKEI,386
2026,март,8315.0,1442.6,6872.4,4513.8,3076.3,384.4,1000.8,52.4,1237.3,971.9,44.8,220.7,1121.3,12824.6,,,,,,,,,,,,,,,-4509.6,-5952.1,4509.6,4661.7,2698.3,872.9,1313.3,-440.4,0.1,0.0,0.1,0.0,256.6,1963.4,1568.7,-152.1,0.0,-3.9,-148.2,OKEI,386
2026,апрель,11727.0,2298.2,9428.8,5927.0,3959.2,510.1,1371.3,86.3,1726.8,1353.4,65.4,308.0,1774.9,17523.1,,,,,,,,,,,,,,,-5796.2,-8094.3,5796.2,5921.9,3680.7,1695.7,2136.2,-440.4,0.2,0.0,0.2,0.0,-14.1,2241.2,1998.9,-125.7,0.0,-3.9,-121.8,OKEI,386
2026,май,14787.4,2977.1,11810.3,7475.1,4999.7,640.6,1719.1,115.6,2173.6,1704.0,82.9,386.6,2161.7,20714.3,,,,,,,,,,,,,,,-5926.9,-8904.0,5926.9,6284.2,3349.1,2108.4,2548.8,-440.4,0.6,0.0,0.6,0.0,-241.8,2935.1,1481.8,-357.2,0.0,-218.9,-138.3,OKEI,386
